TMDb-MovieId,IMDb-MovieId,Movie-Title,Original-Language,Popularity,Release-Date,Runtime,Production-Companies,Production-Countries,Budget,Revenue,Genre,Writer,Director,Actor,Rating
50022,tt0859635,Super Troopers 2,en,11.47,2018-04-19,100,"Broken Lizard Industries,Cataland Films,Needle's Eye Productions,Fox Searchlight Pictures",United States of America,13500000,18850674,"Comedy,Crime,Mystery","Jay Chandrasekhar,Kevin Heffernan,Steve Lemme",Jay Chandrasekhar,"Jay Chandrasekhar,Kevin Heffernan,Steve Lemme",6.0
499566,tt0427543,A Million Little Pieces,en,9.73,2019-08-30,113,"Makeready,The Picture Company,3BlackDot,Federal Films,Snoopsquirrel",United States of America,0,0,Drama,"Aaron Taylor-Johnson,Sam Taylor-Johnson,James Frey",Sam Taylor-Johnson,"Aaron Taylor-Johnson,Billy Bob Thornton,Odessa Young",6.2
519035,tt0365545,Nappily Ever After,en,9.177,2018-09-21,100,"Marc Platt Productions,Badabing Pictures",United States of America,0,0,"Comedy,Drama,Romance","Adam Brooks,Cee Marcellus,Trisha R. Thomas",Haifaa Al-Mansour,"Sanaa Lathan,Ricky Whittle,Lyriq Bent",6.4
401905,tt0360556,Fahrenheit 451,en,14.131,2018-05-12,100,"HBO Films,Noruz Films,Outlier Society Productions",United States of America,0,0,"Drama,Sci-Fi,Thriller","Ray Bradbury,Ramin Bahrani,Amir Naderi",Ramin Bahrani,"Michael B. Jordan,Aaron Davis,Cindy Katz",4.9
426563,tt1255919,Holmes & Watson,en,10.664,2018-12-25,90,"Mosaic,Columbia Pictures,Gary Sanchez Productions,Mimran Schur Pictures,Mosaic Media Group",United States of America,42000000,40462793,"Comedy,Crime,Mystery","Etan Cohen,Arthur Conan Doyle",Etan Cohen,"Will Ferrell,John C. Reilly,Ralph Fiennes",3.9
332562,tt1517451,A Star Is Born,en,36.401,2018-09-20,136,"Thunder Road,22 & Green,Gerber Pictures,Joint Effort,Malpaso Productions,Warner Bros. Pictures,Live Nation Productions",United States of America,36000000,433888866,"Drama,Music,Romance","Eric Roth,Bradley Cooper,Will Fetters",Bradley Cooper,"Lady Gaga,Bradley Cooper,Sam Elliott",7.6
454619,tt1563742,Overboard,en,21.423,2018-04-13,112,"Pantelion Films,3Pas Studios,Metro-Goldwyn-Mayer",United States of America,12000000,91244913,"Comedy,Romance","Bob Fisher,Rob Greenberg,Leslie Dixon",Rob Greenberg,"Eugenio Derbez,Anna Faris,Eva Longoria",6.0
428078,tt1571234,Mortal Engines,en,43.496,2018-11-27,129,"Scholastic Productions,Silvertongue Films,Universal Pictures,WingNut Films,MRC","New Zealand,United States of America",100000000,83672673,"Action,Adventure,Fantasy","Fran Walsh,Philippa Boyens,Peter Jackson",Christian Rivers,"Hera Hilmar,Robert Sheehan,Hugo Weaving",6.1
416673,tt2201211,A Boy Called Sailboat,en,2.605,2018-06-08,92,"Yellow Brick Films,Sailboat Productions,iCandy Productions","Australia,United States of America",0,0,"Comedy,Drama,Family",Cameron Nugent,Cameron Nugent,"J.K. Simmons,Keanu Wilson,Julian Atocani Sanchez",6.7
512747,tt2179231,The Bromley Boys,en,2.647,2018-06-01,97,Itchy Fish Film,United Kingdom,0,0,Comedy,Warren Dudley,Steve M Kelly,"Brenock O&apos;Connor,Jamie Foreman,Alan Davies",6.2
